"Step","training-starcoder2-3b-python-text_only - train/sft_loss","training-starcoder2-3b-python-text_only - train/sft_loss__MIN","training-starcoder2-3b-python-text_only - train/sft_loss__MAX","training-starcoder2-3b-python-formal_sft - train/sft_loss","training-starcoder2-3b-python-formal_sft - train/sft_loss__MIN","training-starcoder2-3b-python-formal_sft - train/sft_loss__MAX","training-starcoder2-3b-python - train/iwae_loss","training-starcoder2-3b-python - train/iwae_loss__MIN","training-starcoder2-3b-python - train/iwae_loss__MAX"
"98","0.6107079982757568","0.6107079982757568","0.6107079982757568","0.8757961988449097","0.8757961988449097","0.8757961988449097","0.7011315822601318","0.7011315822601318","0.7011315822601318"
"99","1.232513666152954","1.232513666152954","1.232513666152954","0.8394218683242798","0.8394218683242798","0.8394218683242798","0.9059743285179138","0.9059743285179138","0.9059743285179138"
"100","0.694026529788971","0.694026529788971","0.694026529788971","1.3678417205810547","1.3678417205810547","1.3678417205810547","0.8802351951599121","0.8802351951599121","0.8802351951599121"
"101","0.8497363328933716","0.8497363328933716","0.8497363328933716","1.048326849937439","1.048326849937439","1.048326849937439","0.6758472323417664","0.6758472323417664","0.6758472323417664"
"102","0.7014369964599609","0.7014369964599609","0.7014369964599609","1.0145936012268066","1.0145936012268066","1.0145936012268066","0.6246867179870605","0.6246867179870605","0.6246867179870605"
"103","0.9964394569396973","0.9964394569396973","0.9964394569396973","1.484196662902832","1.484196662902832","1.484196662902832","0.5708955526351929","0.5708955526351929","0.5708955526351929"
"104","0.6570588946342468","0.6570588946342468","0.6570588946342468","0.7745461463928223","0.7745461463928223","0.7745461463928223","0.5642943382263184","0.5642943382263184","0.5642943382263184"
"105","0.8295112252235413","0.8295112252235413","0.8295112252235413","0.8569540977478027","0.8569540977478027","0.8569540977478027","0.9049868583679199","0.9049868583679199","0.9049868583679199"
"106","0.6517649292945862","0.6517649292945862","0.6517649292945862","1.1752032041549683","1.1752032041549683","1.1752032041549683","0.7308520078659058","0.7308520078659058","0.7308520078659058"
"107","1.0094959735870361","1.0094959735870361","1.0094959735870361","0.9897787570953369","0.9897787570953369","0.9897787570953369","0.7594348192214966","0.7594348192214966","0.7594348192214966"
"108","1.026328682899475","1.026328682899475","1.026328682899475","1.3917559385299683","1.3917559385299683","1.3917559385299683","0.5934985876083374","0.5934985876083374","0.5934985876083374"
"109","0.964052677154541","0.964052677154541","0.964052677154541","1.3185436725616455","1.3185436725616455","1.3185436725616455","0.7826067805290222","0.7826067805290222","0.7826067805290222"
"110","0.8341871500015259","0.8341871500015259","0.8341871500015259","1.003946304321289","1.003946304321289","1.003946304321289","0.5685955286026001","0.5685955286026001","0.5685955286026001"
"111","0.728158712387085","0.728158712387085","0.728158712387085","0.7733914256095886","0.7733914256095886","0.7733914256095886","0.5557602047920227","0.5557602047920227","0.5557602047920227"
"112","1.028624176979065","1.028624176979065","1.028624176979065","1.0895004272460938","1.0895004272460938","1.0895004272460938","0.9734464883804321","0.9734464883804321","0.9734464883804321"
"113","0.9717331528663635","0.9717331528663635","0.9717331528663635","1.2153733968734741","1.2153733968734741","1.2153733968734741","0.7927803993225098","0.7927803993225098","0.7927803993225098"
"114","0.6980701684951782","0.6980701684951782","0.6980701684951782","0.8511564135551453","0.8511564135551453","0.8511564135551453","0.43800443410873413","0.43800443410873413","0.43800443410873413"
"115","0.7494962215423584","0.7494962215423584","0.7494962215423584","1.2097864151000977","1.2097864151000977","1.2097864151000977","0.5839889645576477","0.5839889645576477","0.5839889645576477"
"116","1.0241637229919434","1.0241637229919434","1.0241637229919434","0.7842731475830078","0.7842731475830078","0.7842731475830078","0.8366876840591431","0.8366876840591431","0.8366876840591431"
"117","1.0361154079437256","1.0361154079437256","1.0361154079437256","0.866105318069458","0.866105318069458","0.866105318069458","0.7440030574798584","0.7440030574798584","0.7440030574798584"
"118","1.0460567474365234","1.0460567474365234","1.0460567474365234","1.0054038763046265","1.0054038763046265","1.0054038763046265","0.41220611333847046","0.41220611333847046","0.41220611333847046"
"119","0.8261651396751404","0.8261651396751404","0.8261651396751404","0.6437417268753052","0.6437417268753052","0.6437417268753052","0.6203118562698364","0.6203118562698364","0.6203118562698364"
"120","1.142255187034607","1.142255187034607","1.142255187034607","0.9767794609069824","0.9767794609069824","0.9767794609069824","0.6799023151397705","0.6799023151397705","0.6799023151397705"
"121","0.7209328413009644","0.7209328413009644","0.7209328413009644","0.7243777513504028","0.7243777513504028","0.7243777513504028","0.5088608264923096","0.5088608264923096","0.5088608264923096"
"122","0.730596661567688","0.730596661567688","0.730596661567688","1.0749638080596924","1.0749638080596924","1.0749638080596924","0.5648123025894165","0.5648123025894165","0.5648123025894165"
"123","0.8106629848480225","0.8106629848480225","0.8106629848480225","0.953934907913208","0.953934907913208","0.953934907913208","0.7791793346405029","0.7791793346405029","0.7791793346405029"
"124","0.9888113141059875","0.9888113141059875","0.9888113141059875","0.4283873438835144","0.4283873438835144","0.4283873438835144","0.5113616585731506","0.5113616585731506","0.5113616585731506"
"125","1.01107656955719","1.01107656955719","1.01107656955719","1.0034804344177246","1.0034804344177246","1.0034804344177246","1.0435144901275635","1.0435144901275635","1.0435144901275635"
"126","0.7262409925460815","0.7262409925460815","0.7262409925460815","1.213708519935608","1.213708519935608","1.213708519935608","0.5540598034858704","0.5540598034858704","0.5540598034858704"
"127","0.7506084442138672","0.7506084442138672","0.7506084442138672","1.056825876235962","1.056825876235962","1.056825876235962","0.7549644708633423","0.7549644708633423","0.7549644708633423"
"128","0.8604810237884521","0.8604810237884521","0.8604810237884521","0.9876037836074829","0.9876037836074829","0.9876037836074829","0.9331406354904175","0.9331406354904175","0.9331406354904175"
"129","1.2454886436462402","1.2454886436462402","1.2454886436462402","1.2713757753372192","1.2713757753372192","1.2713757753372192","0.6252973675727844","0.6252973675727844","0.6252973675727844"
"130","0.803472638130188","0.803472638130188","0.803472638130188","1.1661648750305176","1.1661648750305176","1.1661648750305176","0.8749978542327881","0.8749978542327881","0.8749978542327881"
"131","1.060029149055481","1.060029149055481","1.060029149055481","0.7574528455734253","0.7574528455734253","0.7574528455734253","0.6213492155075073","0.6213492155075073","0.6213492155075073"
"132","0.8071257472038269","0.8071257472038269","0.8071257472038269","0.8783034086227417","0.8783034086227417","0.8783034086227417","0.6630361080169678","0.6630361080169678","0.6630361080169678"
"133","1.153389573097229","1.153389573097229","1.153389573097229","0.9585516452789307","0.9585516452789307","0.9585516452789307","0.8552243709564209","0.8552243709564209","0.8552243709564209"
"134","0.8647169470787048","0.8647169470787048","0.8647169470787048","0.8376426696777344","0.8376426696777344","0.8376426696777344","0.5467243194580078","0.5467243194580078","0.5467243194580078"
"135","0.9070302248001099","0.9070302248001099","0.9070302248001099","0.9817342758178711","0.9817342758178711","0.9817342758178711","0.7119207382202148","0.7119207382202148","0.7119207382202148"
"136","0.9067730903625488","0.9067730903625488","0.9067730903625488","0.9955780506134033","0.9955780506134033","0.9955780506134033","0.5623584985733032","0.5623584985733032","0.5623584985733032"
"137","1.1350467205047607","1.1350467205047607","1.1350467205047607","0.8713935613632202","0.8713935613632202","0.8713935613632202","0.49127429723739624","0.49127429723739624","0.49127429723739624"
"138","1.3396742343902588","1.3396742343902588","1.3396742343902588","0.8506861329078674","0.8506861329078674","0.8506861329078674","0.5746751427650452","0.5746751427650452","0.5746751427650452"
"139","0.6391406059265137","0.6391406059265137","0.6391406059265137","0.7082652449607849","0.7082652449607849","0.7082652449607849","0.8765749931335449","0.8765749931335449","0.8765749931335449"
"140","0.8965240716934204","0.8965240716934204","0.8965240716934204","1.0226588249206543","1.0226588249206543","1.0226588249206543","0.8584191799163818","0.8584191799163818","0.8584191799163818"
"141","0.907408595085144","0.907408595085144","0.907408595085144","1.1700268983840942","1.1700268983840942","1.1700268983840942","0.8574367165565491","0.8574367165565491","0.8574367165565491"
"142","0.9407234191894531","0.9407234191894531","0.9407234191894531","1.0933030843734741","1.0933030843734741","1.0933030843734741","0.8011178970336914","0.8011178970336914","0.8011178970336914"
"143","1.4201605319976807","1.4201605319976807","1.4201605319976807","1.0256495475769043","1.0256495475769043","1.0256495475769043","0.6740381717681885","0.6740381717681885","0.6740381717681885"
"144","0.7295695543289185","0.7295695543289185","0.7295695543289185","0.9223668575286865","0.9223668575286865","0.9223668575286865","0.412456750869751","0.412456750869751","0.412456750869751"
"145","0.8376795053482056","0.8376795053482056","0.8376795053482056","0.7563088536262512","0.7563088536262512","0.7563088536262512","0.7938807010650635","0.7938807010650635","0.7938807010650635"
"146","1.0271869897842407","1.0271869897842407","1.0271869897842407","1.025093674659729","1.025093674659729","1.025093674659729","0.6726177930831909","0.6726177930831909","0.6726177930831909"
"147","0.89722740650177","0.89722740650177","0.89722740650177","1.0540424585342407","1.0540424585342407","1.0540424585342407","0.6335919499397278","0.6335919499397278","0.6335919499397278"
"148","1.0095937252044678","1.0095937252044678","1.0095937252044678","0.8567209839820862","0.8567209839820862","0.8567209839820862","0.6389005184173584","0.6389005184173584","0.6389005184173584"
"149","0.9039312601089478","0.9039312601089478","0.9039312601089478","0.7844741940498352","0.7844741940498352","0.7844741940498352","0.5267993807792664","0.5267993807792664","0.5267993807792664"
"150","0.721095085144043","0.721095085144043","0.721095085144043","1.029818058013916","1.029818058013916","1.029818058013916","0.916482150554657","0.916482150554657","0.916482150554657"
"151","0.7533503770828247","0.7533503770828247","0.7533503770828247","0.9752339124679565","0.9752339124679565","0.9752339124679565","0.692454993724823","0.692454993724823","0.692454993724823"
"152","0.7290123701095581","0.7290123701095581","0.7290123701095581","1.062768578529358","1.062768578529358","1.062768578529358","0.8364871740341187","0.8364871740341187","0.8364871740341187"
"153","0.8478986024856567","0.8478986024856567","0.8478986024856567","0.9218010306358337","0.9218010306358337","0.9218010306358337","0.5438048243522644","0.5438048243522644","0.5438048243522644"
